logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639927114151442796e+07 nan -2.503130218118530294e-03 3.990000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639927044836724550e+07 nan -5.012541823544281946e-03 3.980000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639927004290213436e+07 nan -7.528266420791573932e-03 3.970000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926975522006303e+07 5.675866628329321317e-01 -1.005033585350144018e-02 3.960000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926953207651526e+07 6.083129785068283057e-01 -1.257878220686011773e-02 3.950000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926934975495934e+07 4.018906487076406853e-01 -1.511363781004817011e-02 3.940000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926919560427964e+07 3.829329388157009517e-01 -1.765493523872075157e-02 3.930000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926906207288802e+07 3.146090273336816789e-01 -2.020270731751944854e-02 3.920000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926894428985566e+07 2.395323425842085796e-01 -2.275698712261621515e-02 3.910000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926883892934024e+07 2.097471107927006140e-01 -2.531780798428987650e-02 3.900000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926874361915886e+07 1.945112251414646554e-01 -2.788520348953569400e-02 3.890000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926865660778433e+07 1.829012502145887509e-01 -3.045920748470854617e-02 3.880000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926857656507939e+07 1.542262751290574829e-01 -3.303985407820018289e-02 3.870000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926850245710462e+07 1.455609157482517235e-01 -3.562717764315112556e-02 3.860000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926843346422911e+07 1.372253281561014171e-01 -3.822121282019776134e-02 3.850000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926836892570555e+07 1.346587348176596921e-01 -4.082199452025513098e-02 3.840000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926830830108374e+07 1.342662568928021938e-01 -4.342955792733600023e-02 3.830000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926825114267319e+07 1.493445680553645849e-01 -4.604393850140681144e-02 3.820000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926819707544893e+07 1.601801179999733371e-01 -4.866517198128102878e-02 3.810000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926814578215778e+07 1.486288500281887637e-01 -5.129329438755053650e-02 3.800000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926809699199349e+07 1.308691090969897330e-01 -5.392834202555564505e-02 3.790000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926805047197640e+07 1.164387786812384890e-01 -5.657035148839430205e-02 3.780000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926800602021068e+07 1.018033247419814769e-01 -5.921935965997122964e-02 3.770000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926796346059442e+07 1.073012878521513863e-01 -6.187540371808748080e-02 3.760000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926792263860255e+07 1.117996225993420356e-01 -6.453852113757117814e-02 3.750000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
-3.639926788341788948e+07 1.048687269728256904e-01 -6.720874969345005945e-02 3.740000000000000000e+02 -3.639926515004988015e+07 -3.639927114151442796e+07 nan
