logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044560236745158210e+06 nan -2.503130218118530294e-03 3.990000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044559543597977608e+06 nan -5.012541823544281946e-03 3.980000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044559138132870197e+06 nan -7.528266420791573932e-03 3.970000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044558850450797006e+06 3.426481630253411792e-01 -1.005033585350144018e-02 3.960000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044558627307245508e+06 3.293154058470619261e-01 -1.257878220686011773e-02 3.950000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044558444985689595e+06 3.493841550461310175e-01 -1.511363781004817011e-02 3.940000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044558290835009888e+06 2.335605699021975068e-01 -1.765493523872075157e-02 3.930000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044558157303616405e+06 2.204269429592220775e-01 -2.020270731751944854e-02 3.920000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044558039520580322e+06 2.001942025679448733e-01 -2.275698712261621515e-02 3.910000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557934160064906e+06 2.392563098571706681e-01 -2.531780798428987650e-02 3.900000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557838849885389e+06 2.805711468790164642e-01 -2.788520348953569400e-02 3.890000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557751838508993e+06 2.681441120371778619e-01 -3.045920748470854617e-02 3.880000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557671795802191e+06 2.729106402286623489e-01 -3.303985407820018289e-02 3.870000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557597687829286e+06 2.556056230039240318e-01 -3.562717764315112556e-02 3.860000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557528694957495e+06 2.364770253316002824e-01 -3.822121282019776134e-02 3.850000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557464156435803e+06 2.160601859205191766e-01 -4.082199452025513098e-02 3.840000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557403531813994e+06 2.211171729530159169e-01 -4.342955792733600023e-02 3.830000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557346373399720e+06 2.276560045437977797e-01 -4.604393850140681144e-02 3.820000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557292306179181e+06 2.172123171310516854e-01 -4.866517198128102878e-02 3.810000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557241012884304e+06 2.274825104640426365e-01 -5.129329438755053650e-02 3.800000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557192222720012e+06 2.318112421578590043e-01 -5.392834202555564505e-02 3.790000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557145702704787e+06 2.224520407690548374e-01 -5.657035148839430205e-02 3.780000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557101250942796e+06 1.994003237224236669e-01 -5.921935965997122964e-02 3.770000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557058691328391e+06 2.021184141849750315e-01 -6.187540371808748080e-02 3.760000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044557017869334668e+06 1.756656649849648033e-01 -6.453852113757117814e-02 3.750000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556978648621589e+06 1.558042129862912961e-01 -6.720874969345005945e-02 3.740000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556940908294171e+06 1.541497363336624127e-01 -6.988612746416644761e-02 3.730000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556904540650547e+06 1.497581479119673986e-01 -7.257069283483542910e-02 3.720000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
-9.044556869449330494e+06 1.412597331096227260e-01 -7.526248450054684458e-02 3.710000000000000000e+02 -9.044554245280610397e+06 -9.044560236745158210e+06 nan
