logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394553170880254358e+06 nan -2.503130218118530294e-03 3.990000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394552477733073756e+06 nan -5.012541823544281946e-03 3.980000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394552072267966345e+06 nan -7.528266420791573932e-03 3.970000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394551784585893154e+06 4.749172304376806375e-01 -1.005033585350144018e-02 3.960000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394551561442341655e+06 3.250019507665541374e-01 -1.257878220686011773e-02 3.950000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394551379120785743e+06 2.930178371466292120e-01 -1.511363781004817011e-02 3.940000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394551224970106035e+06 2.460285253000532024e-01 -1.765493523872075157e-02 3.930000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394551091438712552e+06 2.567713995961525830e-01 -2.020270731751944854e-02 3.920000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550973655676469e+06 2.804687603023171549e-01 -2.275698712261621515e-02 3.910000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550868295161054e+06 2.591309213401004619e-01 -2.531780798428987650e-02 3.900000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550772984981537e+06 2.476660922582193947e-01 -2.788520348953569400e-02 3.890000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550685973605141e+06 2.484237347728383283e-01 -3.045920748470854617e-02 3.880000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550605930898339e+06 2.052369395530455887e-01 -3.303985407820018289e-02 3.870000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550531822925434e+06 2.357250118936832506e-01 -3.562717764315112556e-02 3.860000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550462830053642e+06 2.465566351592169136e-01 -3.822121282019776134e-02 3.850000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550398291531950e+06 2.152382726048638895e-01 -4.082199452025513098e-02 3.840000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550337666910142e+06 1.934510376363075546e-01 -4.342955792733600023e-02 3.830000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550280508495867e+06 1.785524479709573731e-01 -4.604393850140681144e-02 3.820000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550226441275328e+06 1.993964693404524091e-01 -4.866517198128102878e-02 3.810000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550175147980452e+06 1.757814264312961561e-01 -5.129329438755053650e-02 3.800000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550126357816160e+06 1.722701888242380852e-01 -5.392834202555564505e-02 3.790000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550079837800935e+06 1.485581450527440894e-01 -5.657035148839430205e-02 3.780000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394550035386038944e+06 1.286581828889072077e-01 -5.921935965997122964e-02 3.770000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549992826424539e+06 1.441507518198476556e-01 -6.187540371808748080e-02 3.760000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549952004430816e+06 1.548149878959986236e-01 -6.453852113757117814e-02 3.750000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549912783717737e+06 1.482141179183329160e-01 -6.720874969345005945e-02 3.740000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549875043390319e+06 1.509062920944038433e-01 -6.988612746416644761e-02 3.730000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549838675746694e+06 1.441151464997667830e-01 -7.257069283483542910e-02 3.720000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549803584426641e+06 1.321471921658667337e-01 -7.526248450054684458e-02 3.710000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549769682874903e+06 1.205136033595023692e-01 -7.796154146971186194e-02 3.700000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549736893052235e+06 1.347710731491360003e-01 -8.066790306745480477e-02 3.690000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549705144353211e+06 1.355229523221233023e-01 -8.338160893905106896e-02 3.680000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549674372695386e+06 1.461886777187662023e-01 -8.610269905341172425e-02 3.670000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549644519731402e+06 1.554927971793463037e-01 -8.883121370661574423e-02 3.660000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549615532195196e+06 1.566158000575738340e-01 -9.156719352549048951e-02 3.650000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549587361318991e+06 1.579480780436421372e-01 -9.431067947124133211e-02 3.640000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549559962345287e+06 1.628548100639856389e-01 -9.706171284313121206e-02 3.630000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549533294098452e+06 1.630266939217652200e-01 -9.982033528221093133e-02 3.620000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549507318612188e+06 1.581469278999659833e-01 -1.025865887751010730e-01 3.610000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549482000803575e+06 1.622665412636688509e-01 -1.053605156578263091e-01 3.600000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549457308191806e+06 1.685219494864680922e-01 -1.081421586197031243e-01 3.590000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549433210639283e+06 1.611794972564833117e-01 -1.109315607072816900e-01 3.580000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549409680141136e+06 1.597306822535206894e-01 -1.137287653283429179e-01 3.570000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549386690622196e+06 1.631730950009878667e-01 -1.165338162559515361e-01 3.560000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549364217765629e+06 1.578461821065405279e-01 -1.193467576325661916e-01 3.550000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549342238858342e+06 1.485430202166272418e-01 -1.221676339742075318e-01 3.540000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549320732653141e+06 1.473279629138595503e-01 -1.249964901746852125e-01 3.530000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549299679243937e+06 1.368848471155769686e-01 -1.278333715098848855e-01 3.520000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549279059955850e+06 1.293900385927668761e-01 -1.306783236421161787e-01 3.510000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549258857248351e+06 1.206381736627389206e-01 -1.335313926245226268e-01 3.500000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549239054620266e+06 1.244500356572413591e-01 -1.363926249055548157e-01 3.490000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549219636535272e+06 1.239511649812100325e-01 -1.392620673335076553e-01 3.480000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549200588339940e+06 1.182457951263625739e-01 -1.421397671611228097e-01 3.470000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
-9.394549181896207854e+06 1.172696811252467997e-01 -1.450257720502577397e-01 3.460000000000000000e+02 -9.394547179415706545e+06 -9.394553170880254358e+06 nan
